num_cnpj_agente_distribuidora,sig_agente_distribuidora,nom_agente_distribuidora,nome_normalizado,uf,regiao,fonte_geografia,observacao
23664303000104,DMED,DME DISTRIBUICAO S.A. - DMED,dme distribuicao s.a. - dmed,,,,
23664303000104,DMED,DME DISTRIBUIÇÃO S.A. - DMED,dme distribuicao s.a. - dmed,,,,
04065033000170,EAC,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,energisa acre - distribuidora de energia s.a,,,,
08826596000195,EBO,ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A,energisa borborema - distribuidora de energia s.a,,,,
07297359000111,EDEVP,EMPRESA DE DISTRIBUIÇÃO DE ENERGIA VALE PARANAPANEMA S.A.,empresa de distribuicao de energia vale paranapanema s.a.,,,,
28152650000171,EDP ES,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,edp espirito santo distribuicao de energia s.a.,,,,
28152650000171,EDP ES,EDP ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,edp espirito santo distribuicao de energia s.a.,,,,
02302100000106,EDP SP,EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.,edp sao paulo distribuicao de energia s.a.,,,,
02302100000106,EDP SP,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,edp sao paulo distribuicao de energia s.a.,,,,
60942281000123,EEB,EMPRESA ELETRICA BRAGANTINA S A,empresa eletrica bragantina s a,,,,
60876075000162,EEVP,Empresa de Eletricidade Vale Paranapanema S/A,empresa de eletricidade vale paranapanema s/a,,,,
86301124000122,EFLJC,EMPRESA FORCA E LUZ JOAO CESA LTDA,empresa forca e luz joao cesa ltda,,,,
86301124000122,EFLJC,EMPRESA FORÇA E LUZ JOÃO CESA LTDA,empresa forca e luz joao cesa ltda,,,,
86531175000140,EFLUL,EMPRESA FORCA E LUZ DE URUSSANGA LTDA,empresa forca e luz de urussanga ltda,,,,
86531175000140,EFLUL,EMPRESA FORÇA E LUZ DE URUSSANGA LTDA,empresa forca e luz de urussanga ltda,,,,
02328280000197,ELEKTRO,ELEKTRO REDES S.A.,elektro redes s.a.,,,,
04065033000170,ELETROACRE,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,energisa acre - distribuidora de energia s.a,,,,
88446034000155,ELETROCAR,CENTRAIS ELÉTRICAS DE CARAZINHO SA,centrais eletricas de carazinho sa,,,,
61695227000193,ELETROPAULO,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.,eletropaulo metropolitana eletricidade de sao paulo s.a.,,,,
61695227000193,ELETROPAULO,ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.,eletropaulo metropolitana eletricidade de sao paulo s.a.,,,,
27485069000109,ELFSM,EMPRESA LUZ E FORCA SANTA MARIA S A,empresa luz e forca santa maria s a,,,,
